City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
546,pitangueiras,-21.0094,-48.2217,22.29,80,100,2.08,BR,1712906680
547,mahibadhoo,3.7833,72.9667,28.67,75,21,1.01,MV,1712906478
548,masaka,-0.3338,31.7341,23.56,74,95,4.13,UG,1712906681
549,sim,54.993,57.6982,11.47,82,100,4.53,RU,1712906681
550,bengkulu,-3.8004,102.2655,29.23,75,98,3.06,ID,1712906682
551,shangqiu,34.45,115.65,26.69,44,15,2.58,CN,1712906682
552,baiyin,36.5583,104.2081,21.13,14,100,1.78,CN,1712906683
553,severo-yeniseyskiy,60.3725,93.0408,-8.01,65,100,2.24,RU,1712906683
554,huarmey,-10.0681,-78.1522,22.61,82,100,3.62,PE,1712906684
555,pasni,25.2631,63.471,26.69,77,54,2.66,PK,1712906684
556,ulsteinvik,62.3432,5.8487,12.5,75,88,6.34,NO,1712906685
557,rudbar,30.15,62.6,33.0,22,1,6.28,AF,1712906685
558,sinop,41.7711,34.8709,10.24,70,82,2.64,TR,1712906685
559,furmanov,57.2508,41.1058,8.88,69,100,6.26,RU,1712906686
560,numan,9.4667,12.0333,31.14,29,100,4.26,NG,1712906686
561,novodvinsk,64.4165,40.8122,2.66,90,100,4.65,RU,1712906687
562,pangody,65.85,74.4859,-7.85,90,100,13.14,RU,1712906687
563,uhrichsville,40.3931,-81.3465,10.56,93,100,3.6,US,1712906688
564,chimoio,-19.1164,33.4833,15.44,96,100,3.82,MZ,1712906688
565,pimentel,-6.8367,-79.9342,24.16,69,0,3.6,PE,1712906689
566,zhosaly,45.4878,64.0781,13.54,25,24,8.89,KZ,1712906689
567,lata,40.1629,-8.3327,15.51,71,5,1.8,PT,1712906690
568,carupano,10.6678,-63.2585,24.77,91,20,3.53,VE,1712906690
569,qarazhal,48.0078,70.7903,7.9,37,3,4.01,KZ,1712906690
570,luderitz,-26.6481,15.1594,24.26,44,0,1.94,NA,1712906691
571,aswan,24.0934,32.907,25.61,27,0,2.06,EG,1712906691
572,chernyshevskiy,63.0128,112.4714,-12.31,72,100,1.52,RU,1712906692
573,harrai,22.6167,79.2167,34.26,23,16,3.83,IN,1712906692
574,itaituba,-4.2761,-55.9836,23.4,100,96,0.44,BR,1712906693
575,ribeira brava,32.65,-17.0667,24.28,30,36,1.28,PT,1712906694
576,turpan,42.9333,89.1667,29.24,14,100,4.76,CN,1712906694
577,kitimat,54.0524,-128.6534,5.51,81,69,2.24,CA,1712906695
578,kayyerkan,69.3786,87.7439,-17.86,81,100,3.44,RU,1712906695
579,brigantine,39.4101,-74.3646,16.69,96,100,9.26,US,1712906696
580,road town,18.4167,-64.6167,25.43,81,100,11.29,VG,1712906696
